"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051145","smooth muscle cell differentiation","13/1628","82/25615",0.158536585365854,2.4944193084437,3.53107066616699,0.00192306372075563,0.0167398132014379,0.0167398132014379,"Hes1/Nfatc1/Sox9/Mrtfb/Rbpms2/Pias1/Smarca2/Pdcd4/Srf/Tgfb1/C3/Tbx3/Mrtfa",13
"GO:0009134","nucleoside diphosphate catabolic process","18/1628","133/25615",0.135338345864662,2.12941752415437,3.40205650143793,0.00192309809194602,0.0167398132014379,0.0167398132014379,"Tpi1/Fbp1/Hdac4/Foxk2/Arnt/Ep300/Zbtb20/P2rx7/Eno1/Git1/Fabp1/Mtch2/Nt5e/Stat3/Foxk1/Ncor1/Fkrp/Gale",18
"GO:0009191","ribonucleoside diphosphate catabolic process","18/1628","133/25615",0.135338345864662,2.12941752415437,3.40205650143793,0.00192309809194602,0.0167398132014379,0.0167398132014379,"Tpi1/Fbp1/Hdac4/Foxk2/Arnt/Ep300/Zbtb20/P2rx7/Eno1/Git1/Fabp1/Mtch2/Nt5e/Stat3/Foxk1/Ncor1/Fkrp/Gale",18
"GO:0006457","protein folding","24/1628","199/25615",0.120603015075377,1.89757139505883,3.31146276501765,0.00193218567798415,0.0167961580451558,0.0167961580451558,"Cct4/Tbcb/Chordc1/Wdr83os/Hdac4/Vbp1/Nktr/Ube4b/Dnajb1/Cox14/Mkks/Clu/Pfdn1/Ahsa2/Dnaja1/Cct7/Sgta/Pfdn6/Sdf2/Khsrp/Mesd/Hspa8/Pdrg1/Hsph1",24
"GO:0090398","cellular senescence","14/1628","92/25615",0.152173913043478,2.39430883452623,3.49031776604385,0.00195915255968707,0.017007562220851,0.017007562220851,"Zkscan3/Nuak1/Pot1b/Mnt/Srf/Gch1/Kat6a/Nek4/Abl1/Id2/Zmpste24/Zfp217/Spi1/Tbx3",14
"GO:0003206","cardiac chamber morphogenesis","20/1628","155/25615",0.129032258064516,2.030197352778,3.35146751552361,0.00199857371048663,0.0173263664185778,0.0173263664185778,"Tgfbr2/Rbp4/Hes1/Nfatc1/Gata4/Ube4b/Dll4/Tpm1/Chd7/Srf/Gsk3a/Tek/Tgfb1/Bmp2/Id2/Heg1/Dvl3/Tbx3/Zfpm1/Dsp",20
"GO:0030252","growth hormone secretion","6/1628","22/25615",0.272727272727273,4.29109895018986,4.0231814239257,0.00201288063302781,0.017356704948417,0.017356704948417,"Itsn1/Chd7/Selenot/Arhgef7/Kalrn/Ptpn11",6
"GO:0031998","regulation of fatty acid beta-oxidation","6/1628","22/25615",0.272727272727273,4.29109895018986,4.0231814239257,0.00201288063302781,0.017356704948417,0.017356704948417,"Abcd2/Mfsd2a/Irs2/Fabp1/Akt2/Akt1",6
"GO:0034472","snRNA 3'-end processing","6/1628","22/25615",0.272727272727273,4.29109895018986,4.0231814239257,0.00201288063302781,0.017356704948417,0.017356704948417,"Ints6l/Ints5/Ints9/Exosc7/Ints7/Tut1",6
"GO:1903747","regulation of protein localization to mitochondrion","6/1628","22/25615",0.272727272727273,4.29109895018986,4.0231814239257,0.00201288063302781,0.017356704948417,0.017356704948417,"Tomm7/Gsk3a/Dnaja1/Pink1/Srebf1/Hsph1",6
