"gene","score"
"Maf",1.17504214499147
"Eif4enif1",1.17499722529024
"Mphosph6",1.1739950396717
"Ell",1.1717261730364
"Mybbp1a",1.16951730894385
"Plxnb2",1.16897601449192
"Rnf26",1.16863335188532
"Ddx42",1.16697038708883
"Acin1",1.16697038708883
"Dll4",1.16500592538585
"Pigx",1.16500592538585
"Fam117b",1.16341333487527
"Mief1",1.16341333487527
"Stab2",1.16250539277256
"Tmem63a",1.16250539277256
"Pigt",1.16115166184239
"mt-Nd2",1.16097691572612
"Nol10",1.15924001355704
"Tspyl2",1.15893023927731
"Mob3b",1.15893023927731
"Traf3ip2",1.15893023927731
"Megf8",1.15814939565426
"Cdhr5",1.15677373986993
"Arfip1",1.15677373986993
"Fam20b",1.15239633806272
"Hdlbp",1.15084227531053
"Cspp1",1.1493674389865
"Nr2c1",1.1493674389865
"Tars1",1.14745570823304
"Anpep",1.1461520053394
"Cpox",1.14376226553705
"C8b",1.14282979599679
"Scaf11",1.14203635144329
"Vezf1",1.14203635144329
"Gabpb1",1.14203635144329
"Gnat1",1.14199470099557
"Hrg",1.14199470099557
"Hip1",1.14045150623069
"Cebpz",1.14045150623069
"Rrn3",1.13944085545573
"Tspan15",1.13689001420055
"Nisch",1.13665065136995
"Polr2a",1.13475729586648
"Shtn1",1.13475729586648
"Man2b2",1.13475729586648
"Tpbgl",1.13475729586648
"Trib1",1.13475729586648
"Cmip",1.13059808850986
"Dtx4",1.13043119748616
"Plekho2",1.13043119748616
"Usp12",1.1298208315088
"Frs2",1.1298208315088
"Nrbp2",1.1298208315088
"Ttyh2",1.12897436188759
"Jade2",1.12857538690189
"Bach2",1.12817625064568
"Abl1",1.12700146391134
"Spaca6",1.12501038782584
"S1pr1",1.12501038782584
"Sox12",1.12471411620971
"Galnt2",1.12471411620971
"Oit3",1.12460238846611
"Rfx5",1.12099010504597
"Srebf2",1.12099010504597
"Cnr2",1.1193013688474
"Herpud2",1.11795015457511
"Spata13",1.11493889262659
"Nabp2",1.11469044232315
"Fer",1.11356751921457
"Usp8",1.11339405526749
"Rnf126",1.11336778584913
"Csf2rb",1.11320739127462
"Map3k11",1.11202698558229
"Wbp1l",1.11136497085667
"mt-Nd4",1.11100957051159
"Cgnl1",1.10952015262012
"Fus",1.10819211845729
"Rpf2",1.10627345042599
"Loxl4",1.1062525802896
"Tgfbrap1",1.10567675512461
"Zfp703",1.10058876858367
"Sf3a2",1.10033065965529
"Foxk2",1.0984985788113
"Irf2bpl",1.0976643892574
"Shank3",1.09743303494863
"Pitpnc1",1.09743303494863
"Arglu1",1.09707491081804
"Atp2b4",1.09678376188716
